Data Year,Fuel Type,ZIP,Number of Vehicles
2011,Electric,92694,10
2011,Electric,92701,1
2011,Electric,92705,9
2011,Electric,92708,6
2011,Electric,92780,4
2011,Electric,92782,4
2011,Electric,92801,1
2011,Electric,92802,1
2011,Electric,92804,2
2011,Electric,92806,1
2011,Electric,92807,5
2011,Electric,92808,3
2011,Electric,92821,2
2011,Electric,92823,3
2011,Electric,92831,2
2011,Electric,92832,1
2011,Electric,92833,6
2011,Electric,92835,3
2011,Electric,92845,1
2011,Electric,92856,1
2011,Electric,92860,2
2011,Electric,92861,2
2011,Electric,92865,1
2011,Electric,92867,11
2011,Electric,92868,1
2011,Electric,92869,2
2011,Electric,92870,7
2011,Electric,92880,1
2011,Electric,92881,5
2011,Electric,92882,7
2011,Electric,92883,2
2011,Electric,92886,4
2011,Electric,92887,3
2011,Electric,93001,4
2011,Electric,93003,7
2011,Electric,93004,5
2011,Electric,93010,8
2011,Electric,93012,4
2011,Electric,93013,1
2011,Electric,93021,5
2011,Electric,93023,2
2011,Electric,93030,2
2011,Electric,93033,2
2011,Electric,93035,1
2011,Electric,93060,2
2011,Electric,93063,9
2011,Electric,93065,14
2011,Electric,93066,2
2011,Electric,93101,1
2011,Electric,93103,8
2011,Electric,93105,10
2011,Electric,93108,4
2011,Electric,93109,9
2011,Electric,93110,7
2011,Electric,93111,6
2011,Electric,93117,6
2011,Electric,93221,5
2011,Electric,93245,1
2011,Electric,93292,2
2011,Electric,93301,1
2011,Electric,93302,1
2011,Electric,93306,2
2011,Electric,93311,1
2011,Electric,93314,5
2011,Electric,93401,13
2011,Electric,93402,3
2011,Electric,93405,3
2011,Electric,93420,2
2011,Electric,93422,3
2011,Electric,93433,1
2011,Electric,93436,2
2011,Electric,93442,3
2011,Electric,93444,2
2011,Electric,93446,2
2011,Electric,93449,1
2011,Electric,93455,1
2011,Electric,93463,1
2011,Electric,93504,1
2011,Electric,93505,1
2011,Electric,93535,1
2011,Electric,93536,1
2011,Electric,93551,1
2011,Electric,93555,1
2011,Electric,93561,2
2011,Electric,93602,1
2011,Electric,93610,2
2011,Electric,93611,3
2011,Electric,93614,2
2011,Electric,93618,2
2011,Electric,93637,2
2011,Electric,93638,2
2011,Electric,93646,1
2011,Electric,93704,1
2011,Electric,93711,1
2011,Electric,93720,1
2011,Electric,93721,1
2011,Electric,93722,2
2011,Electric,93723,1
2011,Electric,93727,4
2011,Electric,93728,1
2011,Electric,93906,1
2011,Electric,93907,2
2011,Electric,93908,1
2011,Electric,93923,2
2011,Electric,93933,2
2011,Electric,93950,2
2011,Electric,93953,2
2011,Electric,94002,21
2011,Electric,94005,3
2011,Electric,94010,20
2011,Electric,94015,2
2011,Electric,94018,3
2011,Electric,94019,5
2011,Electric,94020,1
2011,Electric,94022,40
2011,Electric,94024,29
2011,Electric,94025,36
2011,Electric,94027,9
2011,Electric,94028,14
2011,Electric,94030,3
2011,Electric,94038,4
2011,Electric,94040,17
2011,Electric,94041,13
2011,Electric,94042,1
2011,Electric,94043,29
2011,Electric,94044,6
2011,Electric,94061,14
2011,Electric,94062,26
2011,Electric,94065,20
2011,Electric,94066,2
2011,Electric,94070,27
2011,Electric,94080,35
2011,Electric,94085,2
2011,Electric,94086,3
2011,Electric,94087,39
2011,Electric,94089,4
2011,Electric,94102,4
2011,Electric,94103,1
2011,Electric,94107,5
2011,Electric,94109,8
2011,Electric,94110,17
2011,Electric,94111,2
2011,Electric,94112,2
2011,Electric,94114,13
2011,Electric,94115,1
2011,Electric,94116,12
2011,Electric,94117,7
2011,Electric,94118,7
2011,Electric,94121,7
2011,Electric,94122,11
2011,Electric,94123,5
2011,Electric,94124,2
2011,Electric,94127,6
2011,Electric,94131,14
2011,Electric,94132,3
2011,Electric,94133,1
2011,Electric,94134,3
2011,Electric,94301,37
2011,Electric,94302,1
2011,Electric,94303,28
2011,Electric,94304,9
2011,Electric,94305,7
2011,Electric,94306,27
2011,Electric,94401,2
2011,Electric,94402,12
2011,Electric,94403,9
2011,Electric,94404,18
2011,Electric,94501,23
2011,Electric,94502,4
2011,Electric,94503,1
2011,Electric,94506,6
2011,Electric,94507,7
2011,Electric,94509,2
2011,Electric,94510,6
2011,Electric,94517,1
2011,Electric,94518,4
2011,Electric,94519,2
2011,Electric,94521,2
2011,Electric,94523,7
2011,Electric,94526,7
2011,Electric,94530,7
2011,Electric,94533,1
2011,Electric,94534,5
2011,Electric,94536,18
2011,Electric,94538,6
2011,Electric,94539,52
2011,Electric,94541,4
2011,Electric,94542,7
2011,Electric,94544,2
2011,Electric,94545,6
2011,Electric,94546,6
2011,Electric,94547,1
2011,Electric,94549,20
2011,Electric,94550,9
2011,Electric,94551,2
2011,Electric,94552,5
2011,Electric,94553,4
2011,Electric,94555,10
2011,Electric,94556,5
2011,Electric,94558,8
2011,Electric,94559,1
2011,Electric,94560,4
2011,Electric,94561,3
2011,Electric,94563,22
2011,Electric,94564,2
2011,Electric,94566,16
2011,Electric,94568,10
2011,Electric,94572,2
2011,Electric,94573,8
2011,Electric,94574,1
2011,Electric,94577,10
2011,Electric,94578,2
2011,Electric,94579,3
2011,Electric,94580,1
2011,Electric,94582,7
2011,Electric,94583,28
2011,Electric,94587,12
2011,Electric,94588,9
2011,Electric,94591,2
2011,Electric,94596,11
2011,Electric,94597,2
2011,Electric,94598,5
2011,Electric,94599,1
2011,Electric,94602,14
2011,Electric,94605,3
2011,Electric,94607,3
2011,Electric,94608,1
2011,Electric,94609,2
2011,Electric,94610,13
2011,Electric,94611,39
2011,Electric,94618,15
2011,Electric,94619,6
2011,Electric,94621,2
2011,Electric,94702,5
2011,Electric,94703,5
2011,Electric,94704,1
2011,Electric,94705,9
2011,Electric,94706,6
2011,Electric,94707,15
2011,Electric,94708,11
2011,Electric,94709,2
2011,Electric,94710,2
2011,Electric,94801,5
2011,Electric,94803,3
2011,Electric,94804,4
2011,Electric,94806,3
2011,Electric,94901,18
2011,Electric,94903,12
2011,Electric,94904,10
2011,Electric,94920,5
2011,Electric,94923,1
2011,Electric,94925,5
2011,Electric,94930,1
2011,Electric,94931,2
2011,Electric,94939,1
2011,Electric,94941,12
2011,Electric,94942,1
2011,Electric,94945,11
2011,Electric,94947,6
2011,Electric,94949,4
2011,Electric,94950,1
2011,Electric,94951,3
2011,Electric,94952,15
2011,Electric,94954,2
2011,Electric,94956,1
2011,Electric,94957,2
2011,Electric,94960,6
2011,Electric,94965,4
2011,Electric,94970,1
2011,Electric,95002,1
2011,Electric,95003,7
2011,Electric,95004,1
2011,Electric,95006,3
2011,Electric,95008,21
2011,Electric,95012,2
2011,Electric,95014,43
2011,Electric,95018,2
2011,Electric,95020,6
2011,Electric,95023,3
2011,Electric,95030,13
2011,Electric,95032,34
2011,Electric,95033,19
2011,Electric,95035,13
2011,Electric,95037,16
2011,Electric,95045,1
2011,Electric,95046,4
2011,Electric,95050,14
2011,Electric,95051,19
2011,Electric,95054,13
2011,Electric,95056,2
2011,Electric,95060,18
2011,Electric,95062,6
2011,Electric,95065,1
2011,Electric,95066,4
2011,Electric,95070,38
2011,Electric,95073,6
2011,Electric,95075,1
2011,Electric,95076,3
2011,Electric,95101,1
2011,Electric,95110,2
2011,Electric,95111,2
2011,Electric,95112,5
2011,Electric,95116,1
2011,Electric,95117,4
2011,Electric,95118,18
2011,Electric,95119,3
2011,Electric,95120,52
2011,Electric,95121,9
2011,Electric,95123,26
2011,Electric,95124,41
2011,Electric,95125,22
2011,Electric,95126,9
2011,Electric,95127,4
2011,Electric,95128,7
2011,Electric,95129,17
2011,Electric,95130,4
2011,Electric,95131,3
2011,Electric,95132,5
2011,Electric,95133,1
2011,Electric,95134,2
2011,Electric,95135,14
2011,Electric,95136,19
2011,Electric,95138,23
2011,Electric,95139,5
2011,Electric,95148,2
2011,Electric,95203,1
2011,Electric,95207,3
2011,Electric,95209,6
2011,Electric,95219,1
2011,Electric,95222,1
2011,Electric,95223,1
2011,Electric,95242,2
2011,Electric,95253,1
2011,Electric,95306,2
2011,Electric,95326,1
2011,Electric,95327,1
2011,Electric,95337,1
2011,Electric,95348,1
2011,Electric,95350,2
2011,Electric,95355,2
2011,Electric,95367,1
2011,Electric,95376,3
2011,Electric,95380,1
2011,Electric,95382,1
2011,Electric,95388,1
2011,Electric,95401,1
2011,Electric,95403,2
2011,Electric,95404,6
2011,Electric,95405,1
2011,Electric,95407,1
2011,Electric,95409,6
2011,Electric,95425,1
2011,Electric,95442,2
2011,Electric,95451,3
2011,Electric,95452,1
2011,Electric,95465,1
2011,Electric,95472,20
